Group,First Date,Last Date,Txs,No. Contracts,No. Chains,Contracts List,Chains List,Overall,Count,First Date Spread Variance,Last Date Spread Variance,First Date Clustering Score,Last Date Clustering Score
JA,1.388314869,18.45956851,0.513023885,0,0.008521303,0,0.063603547,0.178137396,35,0.043344161,0.104454915,0.038712912,0.137393456
GD,1.397216,33.33379081,0.223768116,0,0.027692308,0,0.060600972,0.095628168,150,0.090018132,0.290584248,0.065879097,0.31437836
AP,1.397752187,4.913865889,0.303587162,0,0.113648616,0,0.10899569,0.155651648,70,0.061505889,0.076215755,0.051889358,0.092216515
FD,1.424782807,8.167352538,0.244994995,0,0.05340764,0,0.072762515,0.111830637,27,0.038566374,0.061024836,0.027598056,0.08096116
LS,1.534328954,5.72584973,0.148357478,0,0.065571997,0,0.064660963,0.082617851,740,0.209521064,0.267497618,0.145820936,0.263964572
IK,1.57986926,6.070089482,0.167591672,0,0.080567794,0,0.078082633,0.096635427,73,0.066776645,0.086505369,0.050136713,0.108233374
DP,1.595477057,2.516956548,0.288050177,0,0.070804018,0,0.071255633,0.127461042,107,0.081243712,0.067439421,0.070752164,0.089141419
H,1.599,9.247194591,0.216473459,0,0.073113406,0,0.130453178,0.130167279,110,0.082465665,0.131064606,0.072088903,0.148183548
JT,1.62506446,17.2412492,0.306489286,0,0.061725712,0,0.07423881,0.132275103,43,0.051978305,0.111892938,0.039371883,0.12786413
EU,1.646620391,5.68252162,0.256938937,0,0.059506531,0,0.077982782,0.118645048,26,0.040685158,0.049950669,0.022484147,0.044104398
AU,1.695006269,0.986037615,0.090601193,0,0.042776263,0,0.056000289,0.057511821,95,0.078904187,0.039773392,0.066358208,0.04301237
FL,1.711591221,14.04938272,0.36163522,0,0.048964218,0,0.06747893,0.143259551,36,0.048809445,0.092419573,0.03844015,0.094837235
GJ,1.723851852,2.742074074,0.025607064,0,0.00952381,0,0.01617196,0.015885654,30,0.044716025,0.037272138,0.021030998,0.027718764
HA,1.762525219,7.29216112,0.185907408,0,0.070855555,0,0.064739264,0.094805637,425,0.170182432,0.228774007,0.143048494,0.198024341
KR,1.789007667,0.32026779,0.077922078,0,0.108678955,0,0.097580069,0.08358852,21,0.038112579,0.010657378,0.029768324,0.012954126
GW,1.809587615,2.608666957,0.117804357,0,0.057632117,0,0.068004809,0.073297584,134,0.096826626,0.076832648,0.078763881,0.084359077
DK,1.815443213,3.675462895,0.148825911,0,0.058947368,0,0.077896131,0.086612638,38,0.051645885,0.048565952,0.031344348,0.055558633
BR,1.815610886,0.622070313,0.085538752,0,0.049288163,0,0.065138121,0.060945843,128,0.094791406,0.036669823,0.082267352,0.041836073
E,1.860964721,30.04518143,0.258312655,0,0.100965919,0,0.112249923,0.14109177,31,0.047228321,0.125415828,0.041493717,0.156963484
CX,1.887509329,2.532928512,0.153064367,0,0.070737747,0,0.067274401,0.086079742,102,0.086277436,0.06605347,0.076126479,0.081116393
LI,1.928334769,11.40401927,0.273423677,0,0.07312401,0,0.077957313,0.126295708,268,0.141355009,0.227185419,0.11966212,0.276644928
DV,1.984453589,23.6824671,0.137754681,0,0.255468066,0,0.359875554,0.234562511,27,0.045515042,0.103915286,0.039159404,0.117222114
HL,2.042112083,15.10268869,0.320062451,0,0.067708333,0,0.083197325,0.141021337,21,0.040719461,0.073184796,0.031441691,0.076268376
